Season,Age,Tm,Lg,Player,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Pos,Hand,Height,Weight,Clg,DraftRk,Exp,player_url
2004-05,28,POR,NBA,Shareef Abdur-Rahim,54,49,1867,18.7,.058,.379,7.9,16.0,12.1,10.7,1.4,1.0,13.0,22.1,113,108,3.9,1.5,5.4,.139,1.4,-0.5,0.8,1.3,CPFSF,Right,6.75,225.0,University of California,3,8,/players/a/abdursh01.html
2005-06,29,SAC,NBA,Shareef Abdur-Rahim,72,30,1961,17.2,.035,.440,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,115,105,4.0,2.2,6.2,.152,0.4,0.4,0.9,1.4,CPFSF,Right,6.75,225.0,University of California,3,9,/players/a/abdursh01.html
2006-07,30,SAC,NBA,Shareef Abdur-Rahim,80,45,2015,13.1,.031,.358,7.0,16.4,11.6,9.2,1.3,1.5,13.3,19.5,103,108,1.1,1.7,2.8,.067,-2.1,0.0,-2.1,-0.1,CPFSF,Right,6.75,225.0,University of California,3,10,/players/a/abdursh01.html
2007-08,31,SAC,NBA,Shareef Abdur-Rahim,6,0,51,5.5,.000,.286,14.2,9.1,11.6,11.1,1.0,0.0,6.0,14.7,95,114,0.0,0.0,0.0,-.005,-3.6,-2.1,-5.7,0.0,CPFSF,Right,6.75,225.0,University of California,3,11,/players/a/abdursh01.html
2005-06,23,DET,NBA,Alex Acker,5,0,35,-2.4,.313,.000,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,61,105,-0.2,0.0,-0.2,-.230,-10.4,-1.9,-12.3,-0.1,SG,Right,6.416666666666667,185.0,Pepperdine University,60,0,/players/a/ackeral01.html
2008-09,26,TOT,NBA,Alex Acker,25,0,199,10.4,.263,.132,4.5,9.6,7.0,10.2,1.3,1.5,8.0,20.1,94,114,-0.1,0.1,0.0,-.011,-3.6,-2.4,-6.0,-0.2,SG,Right,6.416666666666667,185.0,Pepperdine University,60,3,/players/a/ackeral01.html
2012-13,22,TOR,NBA,Quincy Acy,29,0,342,15.9,.027,.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,120,105,0.7,0.4,1.1,.157,-0.6,1.3,0.7,0.2,SFPF,Right,6.583333333333333,240.0,Baylor University,37,0,/players/a/acyqu01.html
2013-14,23,TOT,NBA,Quincy Acy,63,0,847,10.1,.106,.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,109,107,0.6,0.9,1.5,.086,-2.5,1.4,-1.1,0.2,SFPF,Right,6.583333333333333,240.0,Baylor University,37,1,/players/a/acyqu01.html
2014-15,24,NYK,NBA,Quincy Acy,68,22,1287,11.9,.181,.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,105,109,1.0,0.7,1.7,.063,-2.3,-0.8,-3.1,-0.3,SFPF,Right,6.583333333333333,240.0,Baylor University,37,2,/players/a/acyqu01.html
2015-16,25,SAC,NBA,Quincy Acy,59,29,876,14.7,.229,.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,124,108,1.8,0.7,2.5,.137,0.2,0.0,0.2,0.5,SFPF,Right,6.583333333333333,240.0,Baylor University,37,3,/players/a/acyqu01.html
2006-07,22,NJN,NBA,Hassan Adams,61,8,495,13.0,.007,.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,109,107,0.5,0.5,1.0,.095,-2.4,-1.2,-3.6,-0.2,SG,Right,6.333333333333333,220.0,University of Arizona,54,0,/players/a/adamsha01.html
2008-09,24,TOR,NBA,Hassan Adams,12,0,52,0.4,.000,.462,2.3,13.4,7.9,2.8,1.0,1.5,20.4,17.4,63,111,-0.2,0.0,-0.2,-.144,-10.6,-1.3,-12.0,-0.1,SG,Right,6.333333333333333,220.0,University of Arizona,54,2,/players/a/adamsha01.html
2014-15,20,MEM,NBA,Jordan Adams,30,0,248,12.8,.291,.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,96,100,0.0,0.4,0.4,.073,-1.8,1.2,-0.6,0.1,SG,Right,6.416666666666667,209.0,"University of California, Los Angeles",22,0,/players/a/adamsjo01.html
2015-16,21,MEM,NBA,Jordan Adams,2,0,15,17.3,.167,.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,84,90,0.0,0.0,0.0,.015,-2.9,4.8,1.9,0.0,SG,Right,6.416666666666667,209.0,"University of California, Los Angeles",22,1,/players/a/adamsjo01.html
2013-14,20,OKC,NBA,Steven Adams,81,20,1197,11.2,.000,.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,108,102,0.9,1.9,2.9,.114,-2.1,2.4,0.3,0.7,C,Right,7.0,255.0,University of Pittsburgh,12,0,/players/a/adamsst01.html
2014-15,21,OKC,NBA,Steven Adams,70,67,1771,14.1,.005,.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,108,104,1.9,2.2,4.1,.111,-1.4,1.8,0.4,1.1,C,Right,7.0,255.0,University of Pittsburgh,12,1,/players/a/adamsst01.html
2015-16,22,OKC,NBA,Steven Adams,80,80,2014,15.5,.000,.460,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,123,105,4.2,2.3,6.5,.155,0.8,1.3,2.1,2.1,C,Right,7.0,255.0,University of Pittsburgh,12,2,/players/a/adamsst01.html
2010-11,24,GSW,NBA,Jeff Adrien,23,0,196,11.3,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,102,110,0.1,0.1,0.2,.051,-3.9,-1.2,-5.1,-0.2,PF,Right,6.583333333333333,245.0,University of Connecticut,61,0,/players/a/adrieje01.html
2011-12,25,HOU,NBA,Jeff Adrien,8,0,63,11.2,.000,.750,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,106,103,0.1,0.1,0.1,.106,-5.4,-2.3,-7.7,-0.1,PF,Right,6.583333333333333,245.0,University of Connecticut,61,1,/players/a/adrieje01.html
2012-13,26,CHA,NBA,Jeff Adrien,52,5,713,13.4,.012,.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,105,109,0.5,0.4,1.0,.064,-3.0,-0.2,-3.3,-0.2,PF,Right,6.583333333333333,245.0,University of Connecticut,61,2,/players/a/adrieje01.html
2013-14,27,TOT,NBA,Jeff Adrien,53,12,961,17.4,.000,.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,114,106,1.6,1.1,2.7,.134,-1.4,0.3,-1.1,0.2,PF,Right,6.583333333333333,245.0,University of Connecticut,61,3,/players/a/adrieje01.html
2014-15,28,MIN,NBA,Jeff Adrien,17,0,215,14.2,.000,.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,109,108,0.2,0.2,0.4,.087,-2.7,0.5,-2.2,0.0,PF,Right,6.583333333333333,245.0,University of Connecticut,61,4,/players/a/adrieje01.html
2007-08,22,DET,NBA,Arron Afflalo,75,9,970,10.2,.199,.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,104,104,0.5,1.4,1.9,.092,-2.3,0.6,-1.6,0.1,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,0,/players/a/afflaar01.html
2008-09,23,DET,NBA,Arron Afflalo,74,8,1234,8.9,.357,.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,107,110,0.8,1.0,1.8,.069,-1.7,-0.7,-2.4,-0.1,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,1,/players/a/afflaar01.html
2009-10,24,DEN,NBA,Arron Afflalo,82,75,2221,10.9,.426,.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,114,111,2.8,1.4,4.3,.092,0.8,-0.5,0.3,1.3,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,2,/players/a/afflaar01.html
2010-11,25,DEN,NBA,Arron Afflalo,69,69,2324,13.6,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,123,111,4.8,1.4,6.2,.128,2.4,-0.2,2.1,2.4,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,3,/players/a/afflaar01.html
2011-12,26,DEN,NBA,Arron Afflalo,62,62,2086,14.7,.316,.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,116,111,4.7,0.6,5.3,.121,2.5,-1.6,0.8,1.5,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,4,/players/a/afflaar01.html
2012-13,27,ORL,NBA,Arron Afflalo,64,64,2307,13.0,.265,.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,102,112,1.5,0.5,2.0,.042,-0.3,-2.0,-2.3,-0.2,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,5,/players/a/afflaar01.html
2013-14,28,ORL,NBA,Arron Afflalo,73,73,2552,16.0,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,110,112,4.3,1.0,5.3,.099,1.7,-2.3,-0.6,0.9,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,6,/players/a/afflaar01.html
2014-15,29,TOT,NBA,Arron Afflalo,78,72,2502,10.7,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,103,111,1.6,1.0,2.6,.050,-0.5,-1.3,-1.8,0.1,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,7,/players/a/afflaar01.html
2015-16,30,NYK,NBA,Arron Afflalo,71,57,2371,10.9,.298,.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,105,112,1.8,0.9,2.7,.055,-0.6,-1.8,-2.4,-0.2,SGSF,Right,6.416666666666667,210.0,"University of California, Los Angeles",27,8,/players/a/afflaar01.html
2006-07,22,DAL,NBA,Maurice Ager,32,1,214,2.9,.214,.471,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,79,106,-0.5,0.2,-0.3,-.060,-7.5,-1.8,-9.3,-0.4,SG,Right,6.416666666666667,202.0,Michigan State University,28,0,/players/a/agerma01.html
2007-08,23,TOT,NBA,Maurice Ager,26,3,165,1.8,.292,.185,2.8,6.3,4.6,8.0,0.0,0.4,7.9,21.3,77,114,-0.4,0.0,-0.4,-.114,-6.8,-4.5,-11.3,-0.4,SG,Right,6.416666666666667,202.0,Michigan State University,28,1,/players/a/agerma01.html
2008-09,24,NJN,NBA,Maurice Ager,20,0,97,2.2,.140,.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,77,115,-0.3,0.0,-0.3,-.133,-8.5,-4.3,-12.8,-0.3,SG,Right,6.416666666666667,202.0,Michigan State University,28,2,/players/a/agerma01.html
2010-11,26,MIN,NBA,Maurice Ager,4,0,29,10.1,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,94,114,0.0,0.0,0.0,-.015,-2.7,-3.6,-6.3,0.0,SG,Right,6.416666666666667,202.0,Michigan State University,28,4,/players/a/agerma01.html
2007-08,23,MIA,NBA,Blake Ahearn,12,0,177,9.0,.596,.544,0.7,12.4,6.4,17.2,1.8,0.0,18.5,23.2,94,111,-0.1,0.1,0.0,-.006,-2.8,-2.8,-5.6,-0.2,PG,Right,6.166666666666667,190.0,Missouri State University,61,0,/players/a/ahearbl01.html
2008-09,24,SAS,NBA,Blake Ahearn,3,0,19,12.9,.667,.333,0.0,6.2,3.1,16.0,2.9,0.0,12.7,20.1,113,104,0.0,0.0,0.1,.149,0.6,-1.8,-1.1,0.0,PG,Right,6.166666666666667,190.0,Missouri State University,61,1,/players/a/ahearbl01.html
2011-12,27,UTA,NBA,Blake Ahearn,4,0,30,-7.3,.643,.000,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,57,113,-0.2,0.0,-0.2,-.315,-10.3,-6.0,-16.3,-0.1,PG,Right,6.166666666666667,190.0,Missouri State University,61,4,/players/a/ahearbl01.html
2008-09,20,CHA,NBA,Alexis Ajinca,31,4,182,7.0,.029,.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,86,104,-0.3,0.3,-0.1,-.018,-8.1,-1.2,-9.3,-0.3,CPF,Right,7.166666666666667,248.0,None,20,0,/players/a/ajincal01.html
2009-10,21,CHA,NBA,Alexis Ajinca,6,0,30,6.3,.000,.100,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,81,103,-0.1,0.0,0.0,-.013,-8.5,-2.0,-10.4,-0.1,CPF,Right,7.166666666666667,248.0,None,20,1,/players/a/ajincal01.html
2010-11,22,TOT,NBA,Alexis Ajinca,34,2,340,12.2,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,98,107,0.0,0.4,0.4,.052,-3.1,-0.3,-3.4,-0.1,CPF,Right,7.166666666666667,248.0,None,20,2,/players/a/ajincal01.html
2013-14,25,NOP,NBA,Alexis Ajinca,56,30,951,14.6,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,110,107,1.2,0.9,2.1,.104,-1.5,0.8,-0.7,0.3,CPF,Right,7.166666666666667,248.0,None,20,5,/players/a/ajincal01.html
2014-15,26,NOP,NBA,Alexis Ajinca,68,8,957,19.9,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,113,103,1.9,1.2,3.2,.159,-0.5,0.6,0.2,0.5,CPF,Right,7.166666666666667,248.0,None,20,6,/players/a/ajincal01.html
2015-16,27,NOP,NBA,Alexis Ajinca,59,17,861,13.8,.003,.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,100,107,0.2,0.9,1.0,.058,-4.3,-0.2,-4.5,-0.5,CPF,Right,7.166666666666667,248.0,None,20,7,/players/a/ajincal01.html
2012-13,26,DAL,NBA,Josh Akognon,3,0,9,15.3,.500,.000,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,130,111,0.0,0.0,0.0,.196,4.7,-4.9,-0.2,0.0,PG,Right,5.083333333333333,185.0,"California State University, Fullerton",61,0,/players/a/akognjo01.html
2010-11,22,TOR,NBA,Solomon Alabi,12,0,59,2.0,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,61,112,-0.2,0.0,-0.2,-.142,-8.2,0.0,-8.2,-0.1,C,Right,7.083333333333333,251.0,Florida State University,50,0,/players/a/alabiso01.html
2011-12,23,TOR,NBA,Solomon Alabi,14,0,122,14.2,.000,.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,95,98,0.0,0.2,0.2,.083,-5.6,1.5,-4.1,-0.1,C,Right,7.083333333333333,251.0,Florida State University,50,1,/players/a/alabiso01.html
2014-15,23,PHI,NBA,Furkan Aldemir,41,9,540,12.0,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,117,104,0.7,0.7,1.4,.122,-2.7,2.0,-0.7,0.2,PF,Right,6.083333333333333,240.0,None,53,0,/players/a/aldemfu01.html
2010-11,22,OKC,NBA,Cole Aldrich,18,0,142,7.0,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,98,104,0.0,0.2,0.2,.066,-3.4,2.6,-0.8,0.0,C,Right,6.083333333333333,250.0,University of Kansas,11,0,/players/a/aldrico01.html
